"","Mean_Temp_C","World_Clim_Temp_C","Ocean_Temp_C","Species"
"462",0.9,0.9,7.26876898119838,"Bonasa umbellus"
"463",12.9,12.9,16.8016553485739,"Bucephala albeola"
"464",3.7,3.7,9.51716075605227,"Botaurus lentiginosus"
"465",26.2,26.2,27.5145374239537,"Butastur indicus"
"466",-0.5,-0.5,6.44962401750982,"Bucephala clangula"
"467",NA,NA,26.7752517666949,"Bubo virginianus"
"468",24.3,24.3,27.1112528297948,"Bubulcus ibis"
"469",26.9,26.9,28.4975424512114,"Buteogallus anthracinus"
"470",3,3,8.69563808758211,"Buteo buteo"
"471",0.1,0.1,6.42768695436991,"Buteo jamaicensis"
"472",-1.8,-1.8,5.33130557678169,"Buteo lagopus"
"473",15.4,15.4,18.0558470029257,"Buteo lineatus"
"474",5.6,5.6,10.7947207637035,"Buteo regalis"
"475",25.7,25.7,24.3809280778581,"Buteo swainsoni"
"476",NA,NA,27.0681069115249,"Butorides striata"
"477",NA,NA,29.2366403036227,"Calidris alba"
"478",-8.9,-8.9,0.347640025927218,"Calidris canutus"
"479",26.4,26.4,23.8083238798056,"Calidris himantopus"
"480",NA,NA,26.4383459815606,"Calidris mauri"
"481",NA,NA,28.3857636171039,"Calidris melanotos"
"482",20.1,20.1,18.2074342338888,"Callipepla gambelii"
"483",15.7,15.7,25.2138909653832,"Calothorax lucifer"
"484",22.7,22.7,21.5654834848352,"Caracara plancus"
"485",26.1,26.1,23.9798004963713,"Cathartes aura"
"486",7.23137794817869,NA,7.23137794817869,"Cepphus grylle"
"487",12.8142608792911,9.3,12.8142608792911,"Cepphus columba"
"488",2.7,2.7,9.86391313312329,"Chaetura vauxi"
"489",24.7,24.7,26.9588111858526,"Fregata ariel"
"490",14.2495592500295,8,14.2495592500295,"Podiceps nigricollis"
"491",19.6,19.6,24.0562178089872,"Anthus spinoletta"
"492",NA,NA,8.98964768935014,"Anthus rubescens"
"493",17.3,17.3,15.0237398907929,"Baeolophus inornatus"
"494",NA,NA,5.67999104378053,"Calcarius lapponicus"
"495",24.9,24.9,28.7992450606778,"Catharus ustulatus"
"496",1.9,1.9,10.267060920925,"Certhia familiaris"
"497",3.4,3.4,8.65415627258086,"Contopus cooperi"
"498",7.8,7.8,10.4631050392947,"Empidonax difficilis"
"499",14.7,14.7,16.6376296803449,"Mimus polyglottos"
"500",6.7,6.7,13.7079084943968,"Loxia curvirostra"
"501",12.1,12.1,17.1505541572664,"Passer domesticus"
"502",11.8,11.8,16.0705624092665,"Passer montanus"
"503",NA,NA,27.3010388429332,"Vireo olivaceus"
"504",13.2231693891735,NA,13.2231693891735,"Alca torda"
"505",NA,NA,25.4245922739587,"Himatione sanguinea"
"506",NA,NA,27.7195682518566,"Ardenna tenuirostris"
"507",25.7,25.7,27.8906844629336,"Bulweria bulwerii"
"508",16.1537103009021,-4.9,16.1537103009021,"Cerorhinca monocerata"
"509",NA,NA,5.45585779167463,"Diomedea epomophora"
"510",NA,NA,8.87055097787992,"Diomedea exulans"
"511",NA,NA,17.5859906080664,"Diomedea amsterdamensis"
"512",12.6637275783086,NA,12.6637275783086,"Fratercula arctica"
"513",NA,NA,26.5304988195402,"Fregata minor"
"514",8,8,11.1156221796751,"Fulmarus glacialis"
"515",NA,NA,25.9301341196411,"Onychoprion fuscatus"
"516",24.6,24.6,22.975779073794,"Troglodytes aedon"
"517",NA,NA,27.4762065362587,"Ardenna gravis"
"518",24.7,24.7,27.0331138483749,"Ardenna pacifica"
"519",NA,NA,21.4052359308201,"Phoebastria immutabilis"
"520",NA,NA,27.2061268048193,"Dendrocygna autumnalis"
"521",26.2,26.2,26.63582867998,"Egretta caerulea"
"522",-8.1,-8.1,5.20239614250182,"Melanitta stejnegeri"
"523",NA,NA,24.282648271448,"Pterodroma phaeopygia"
"524",18,18,24.9781404366285,"Dryobates scalaris"
"525",20.7,20.7,19.9319964697783,"Gyps coprotheres"
"526",NA,NA,25.4180043564628,"Phoebastria nigripes"
"527",26.4,26.4,29.008706048847,"Sterna dougallii"
"528",15,15,17.8601632369034,"Tympanuchus pallidicinctus"
"529",25.6,25.6,24.4521151958734,"Pyrocephalus rubinus"
"530",18.9,18.9,23.9676515923846,"Auriparus flaviceps"
"531",7.7,7.7,13.6015964246159,"Cyanocitta stelleri"
"532",4.2,4.2,9.04005210066946,"Poecile atricapillus"
"533",4.9,4.9,11.6949009151509,"Poecile gambeli"
"534",NA,NA,23.9782536834371,"Lanius excubitor"
"535",26,26,28.6191609519232,"Cyanocorax yncas"
"536",NA,NA,26.5428813329659,"Petrochelidon fulva"
"537",6.9,6.9,11.0126523972162,"Tachycineta thalassina"
"538",14.3,14.3,17.0266835917187,"Vireo griseus"
"539",18.4,18.4,23.523668184142,"Vireo huttoni"
"540",20.7,20.7,23.3636108900158,"Vireo atricapilla"
"541",NA,NA,10.2096454244134,"Eremophila alpestris"
