"","Group","Species","dry_mass_g","Temp_C","Mortality_yr","Ref"
"218","Mammal","Hyemoschus aquaticus",2713,38,0.196,128
"219","Mammal","Hyemoschus aquaticus",2713,38,0.182,128
"220","Mammal","Hylobates agilis",1250,38,0.101,128
"221","Mammal","Hylobates lar",1250,38,0.101,128
"222","Mammal","Symphalangus syndactylus",2750,38,0.101,128
"223","Mammal","Symphalangus syndactylus",2750,38,0.084,128
"224","Mammal","Hyperoodon ampullatus",625000,38,0.068,128
"225","Mammal","Isoodon macrourus",400,38,3.333,128
"226","Mammal","Isoodon macrourus",400,38,0.909,128
"227","Mammal","Kobus ellipsiprymnus",52500,38,0.137,128
"228","Mammal","Kobus kob",29380,38,0.206,3
"229","Mammal","Kobus leche",27690,38,0.169,128
"230","Mammal","Kobus megaceros",21880,38,0.256,128
"231","Mammal","Lagenorhynchus acutus",50000,38,0.115,128
"232","Mammal","Lagenorhynchus acutus",50000,38,0.093,128
"233","Mammal","Lagostrophus fasciatus",425,38,0.667,128
"234","Mammal","Lama guanicoe",21250,38,0.127,128
"235","Mammal","Lemur catta",500,38,0.093,128
"236","Mammal","Leptailurus serval",3000,38,0.11,128
"237","Mammal","Lepus americanus",427.5,38,0.526,128
"238","Mammal","Lepus europaeus",950,38,0.213,128
"239","Mammal","Lepus timidus",625,38,0.286,128
"240","Mammal","Heteromys adspersus",16.25,38,2,128
"241","Mammal","Litocranius walleri",9500,38,0.323,128
"242","Mammal","Litocranius walleri",9500,38,0.213,128
"243","Mammal","Lobodon carcinophaga",56250,38,0.11,128
"244","Mammal","Lobodon carcinophaga",56250,38,0.084,128
"245","Mammal","Lobodon carcinophaga",56250,38,0.07,128
"246","Mammal","Lobodon carcinophaga",56250,38,0.065,128
"247","Mammal","Loxodonta africana",985000,38,0.042,128
"248","Mammal","Loxodonta africana",985000,38,0.036,128
"249","Mammal","Loxodonta africana",1652000,38,0.04,3
"250","Mammal","Lycaon pictus",5513,38,0.256,128
"251","Mammal","Lycaon pictus",5513,38,0.233,128
"252","Mammal","Macaca arctoides",2500,38,0.084,128
"253","Mammal","Macaca mulatta",1150,38,0.087,3
"254","Mammal","Macaca mulatta",2500,38,0.084,128
"255","Mammal","Macaca nemestrina",2500,38,0.084,128
"256","Mammal","Macaca radiata",2500,38,0.127,128
"257","Mammal","Macaca silenus",2500,38,0.084,128
"258","Mammal","Macaca sinica",1000,38,0.084,128
"259","Mammal","Macaca sylvanus",1750,38,0.127,128
"260","Mammal","Macaca sylvanus",1750,38,0.115,128
"261","Mammal","Macropus agilis",3750,38,0.256,128
